189	ibFnTcft2Wk	5976	Core Java With OCJP/SCJP:Devlopment  Part- 1||Introduction
190	Ju4yV7Ur0_w	3937	Core Java With OCJP/SCJP:Devlopment  Part- 2||Jar Files || System Propertices
191	QmPU_zFGJko	6308	Core Java With OCJP/SCJP:Devlopment  Part- 3||Jar vs war vs var||JDK vs JRE VS JVM
192	aNdlcn0mnTQ	4166	Core Java With OCJP/SCJP: Assertions  Part- 1||Introduction ||idenifier vs keywords
193	CXHOhONUKeo	3489	Core Java With OCJP/SCJP: Assertions  Part- 2||Simpleassert || augmented assert
194	I77e54Cs6z4	4145	Core Java With OCJP/SCJP: Assertions  Part- 3||various run time flags
195	PqQQH11bU1A	1989	Core Java With OCJP/SCJP: Assertions  Part- 4||proper and improper use of assert
196	WCoXPEDfeXo	5399	Core Java With OCJP/SCJP:JVM Architecture  Part- 1||Introduction || class loading of system
197	SZjXdfLVZSE	3243	Core Java With OCJP/SCJP:JVM Architecture  Part- 2|| Linking ||verfi|| prepare||resolve
198	JwTvaPyADa4	2860	Core Java With OCJP/SCJP:JVM Architecture  Part- 3|| how class loader works
199	WgYbEY38NDM	3811	Core Java With OCJP/SCJP:JVM Architecture  Part- 4|| nead of customized classloader
200	AIIJ7WhQjag	2471	Core Java With OCJP/SCJP:JVM Architecture  Part- 5|| heap area || method area
201	v6UTBSkgvo8	4002	Core Java With OCJP/SCJP:JVM Architecture  Part- 6|| stack memory
202	_So56uRuWEo	2187	Core Java With OCJP/SCJP:JVM Architecture  Part- 7|| jvm execution engine
203	EG95zCkWh28	4756	Core Java With OCJP/SCJP:JVM Architecture  Part- 8|| complete jvm architecture
